variavel: Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;ibge;latitude;longitude;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Cerro Largo;4305207;-28,1462;-54,7428;11.876;11.577;10.247;10.048;11.214;11.472;12.974;13.640;14.317;15.025;15.841;15.885;15.864;16.279;17.577;18.230;18.662;20.235;23.862;8.122;786;842;825;925;816;779;812;864
Charqueadas;4305355;-29,9625;-51,6289;79;153;161;118;228;187;260;998;2.387;2.415;2.392;1.833;2.049;2.294;2.535;2.622;2.560;2.894;2.557;2.419;3.010;3.000;2.703;2.661;2.449;2.335;3.037;2.592
Charrua;4305371;-27,9493;-52,015;-;-;2;5;21;12;20;18;36;57;68;69;69;77;79;80;92;106;105;119;99;104;97;90;105;120;104;85
Chiapetta;4305405;-27,923;-53,9419;1.410;1.501;959;861;885;931;952;974;1.083;1.123;1.135;1.078;902;476;191;57;66;71;80;80;108;123;131;128;104;152;179;166
Chuí;4305439;-33,6866;-53,4594;-;-;-;-;-;-;661;2.007;1.348;3.384;2.102;1.051;1.281;1.748;2.213;2.120;2.435;2.837;2.427;2.455;2.920;2.774;2.730;2.634;2.595;2.802;2.841;3.457
Chuvisca;4305447;-30,7504;-51,9737;-;-;-;-;-;-;876;1.325;1.527;1.727;1.901;2.124;2.420;2.843;3.091;2.907;2.959;3.226;3.481;3.481;3.837;4.108;4.276;4.903;4.606;4.557;5.554;5.201
Cidreira;4305454;-30,1604;-50,2338;972;1.608;1.124;1.120;1.161;858;728;807;1.251;1.160;918;773;789;879;1.251;747;1.146;1.376;1.389;1.119;1.227;1.277;1.362;1.555;1.327;1.534;1.264;1.866
Ciríaco;4305504;-28,3419;-51,8741;2.381;2.451;2.619;2.491;3.291;3.445;3.807;4.495;4.801;4.785;5.224;5.623;6.240;6.574;6.947;7.109;7.595;8.054;8.373;1.934;211;211;218;225;226;226;225;229
Colinas;4305587;-29,3815;-51,8526;-;-;956;1.084;1.053;1.115;1.242;1.319;1.422;1.385;1.735;1.842;1.678;1.563;1.711;1.756;1.860;1.957;2.084;2.196;2.307;2.449;2.498;2.637;2.573;2.681;2.663;2.727
Constantina;4305801;-27,732;-52,9938;3.218;3.000;2.587;2.934;3.076;3.289;3.409;3.422;3.654;4.323;3.955;3.836;3.663;3.715;3.778;3.561;3.539;3.705;3.804;3.741;3.951;4.107;3.949;4.279;4.307;4.207;4.462;4.610
